  artificiel	artificielle
  abrasif	abrasive
  sensuel	sensuelle
  chagrin	chagrine
  répetitif	répétitive
  décati	décatie
  aérien	aérienne
  aquatique	aquatique
  atmosphérique	atmosphérique
  hanté	hantée
  bruitiste	bruitiste
  fascinant	fascinante
  particulier	particulière
  déconcertant	déconcertante
  acide	acide
  robotique	robotique
  céleste	céleste
  crépusculaire	crépusculaire
  décalé	décalée
  dépressif	dépressive
  dense	dense
  futuriste	futuriste
  flamboyant	flamboyante
  enveloppant	enveloppante
  entêtant	entêtante
  désenchanté	désenchantée
  lyrique	lyrique
  néoclassique	néoclassique
  frigoriste	frigoriste
  glauque	glauque
  technoïde	technoïde
  hypnotique	hypnotique
  lunaire	lunaire
  malsain	malsaine
  minimaliste	minimaliste
  moite	moite
  novateur	novatrice
  énigmatique	énigmatique
  fûté	fûtée
  organique	organique
  planant	planante
  opaque	opaque
  oblique	oblique
  raffiné	raffinée
  précis	précise
  sec	sèche
  sombre	sombre
  sonique	sonique
  supersonique	supersonique
  introspectif	introspective
  millimétré	millimétrée
  céleste	céleste
  polaire	polaire
  bruitiste	bruitiste
  discret	discrète
  âpre	âpre
  irrésistible	irrésistible
  cheap	cheap
  romantico-nunuche	romantico-nunuche
  estival	estivale
  paradisiaque	paradisiaque
  ampoulé	ampoulée
  ornementé	ornementée
  euphorisant	euphorisante
  sexy	sexy
  imparable	imparable
  décoratif	décorative
  cheesy	cheesy
  ultrachic	ultrachic
  existentiel	existentielle
  décoiffant	décoiffante
  rond	ronde
  solaire	solaire
  efficace	efficace
  savant	savante
  modulé	modulée
